farm_id,control_plot_id,soil_class,equlidian_distance,similarity_weight,centroid
11674,11674_9,7,0.441921529,0.252006887,"30.09305384361695,77.11651936909144"
11674,11674_26,7,0.514937085,0.216273545,"30.084758528219595,77.11659421746762"
11674,11674_43,7,0.577539389,0.192830604,"30.09338235494714,77.10904836908101"
11674,11674_22,7,0.64927492,0.171525598,"30.09446033328809,77.12270276139962"
11674,11674_5,7,0.665422023,0.167363365,"30.094460333288094,77.12342141362691"
7951,7951_12,7,0.747369843,0.217341201,"30.11027068228859,76.94950757462138"
7951,7951_3,7,0.818438274,0.198468552,"30.115660573993306,76.95381948798516"
7951,7951_17,7,0.830559703,0.195572045,"30.114582595652365,76.95956870580352"
7951,7951_34,7,0.834222572,0.194713335,"30.110270682288593,76.94483633514396"
7951,7951_8,7,0.837700791,0.193904866,"30.11422326953872,76.95453814021246"
21238,21238_11,7,0.513703913,0.209890928,"30.009300044353562,76.91177833268837"
21238,21238_19,7,0.518120513,0.208101761,"30.00095511674932,76.92678778997649"
21238,21238_4,7,0.548688241,0.196508296,"30.006784761558027,76.93261924727994"
21238,21238_7,7,0.555036003,0.194260896,"30.007144087671673,76.9164495721658"
21238,21238_27,7,0.563809094,0.19123812,"30.00031689151236,76.92866666002982"
20873,20873_4,4,0.651792264,0.21223927,"29.657585694881607,76.94431633872165"
20873,20873_1,4,0.676642594,0.204444585,"29.657879105206,76.94699229182586"
20873,20873_42,4,0.696256936,0.198685151,"29.65922504847165,76.94576806254132"
20873,20873_18,4,0.703937423,0.196517346,"29.659397047627333,76.94776643943261"
20873,20873_38,4,0.735384779,0.188113649,"29.657206436385568,76.95054877871567"
10634,10634_46,4,0.300912566,0.210206991,"29.926295712100917,76.68001298938553"
10634,10634_29,4,0.306302332,0.20650814,"29.924499081532673,76.67426377156717"
10634,10634_6,4,0.316010822,0.200163793,"29.933482234373876,76.68037231549917"
10634,10634_0,4,0.324610105,0.194861232,"29.928810994896455,76.68216894606743"
10634,10634_17,4,0.335992655,0.188259844,"29.930248299351046,76.67174848877163"
23003,23003_39,7,0.425935908,0.237634826,"29.605058166499774,76.90423248430176"
23003,23003_5,7,0.490970477,0.206157418,"29.602806148974203,76.90812953193738"
23003,23003_35,7,0.498174764,0.2031761,"29.604500364885098,76.90384419773444"
23003,23003_46,7,0.53101723,0.190610022,"29.60288959429668,76.90387308652318"
23003,23003_2,7,0.623175638,0.162421634,"29.594637709203987,76.9089037237792"
4652,4652_24,7,0.469922291,0.207198341,"29.65680112686506,75.46944331250606"
4652,4652_33,7,0.474514167,0.205193282,"29.653926517955878,75.47698916089266"
4652,4652_34,7,0.49527657,0.19659141,"29.655887955817573,75.47525601579284"
4652,4652_0,7,0.49756339,0.195687868,"29.654645170183173,75.48417568316563"
4652,4652_25,7,0.498477286,0.195329099,"29.654543234271628,75.48288712868273"
11926,11926_16,4,0.364762041,0.216871307,"29.94390269166966,76.78493621457069"
11926,11926_12,4,0.3652799,0.216563847,"29.952167192283557,76.7773903661841"
11926,11926_35,4,0.368862147,0.214460662,"29.94605864835155,76.77918699675232"
11926,11926_43,4,0.448510876,0.176375702,"29.945699322237896,76.78170227954786"
11926,11926_0,4,0.450162772,0.175728482,"29.952167192283557,76.77846834452504"
22320,22320_29,7,0.482857217,0.233809556,"29.607774481525535,76.9133875923435"
22320,22320_49,7,0.566096089,0.199430157,"29.606116943419675,76.90477286035606"
22320,22320_15,7,0.580439796,0.19450188,"29.616556602136505,76.90351383207447"
22320,22320_7,7,0.60553732,0.186440419,"29.602363224706206,76.90132691593845"
22320,22320_23,7,0.607565677,0.185817988,"29.61763458047745,76.9038731581881"
1266,1266_19,4,0.410278048,0.206018919,"29.946777300578834,76.31996822351043"
1266,1266_31,4,0.419206527,0.201631021,"29.9449806700106,76.30811046176004"
1266,1266_26,4,0.427222989,0.197847593,"29.946940228526714,76.31637211615578"
1266,1266_47,4,0.428318915,0.197341366,"29.94390269166966,76.3077511356464"
1266,1266_12,4,0.428710527,0.197161102,"29.941686419629317,76.31582518026781"
6290,6290_45,4,0.432856162,0.249057782,"30.095808694376586,74.58637306047167"
6290,6290_40,4,0.555363668,0.1941182,"30.09590123781475,74.59367833283981"
6290,6290_20,4,0.570276048,0.189042124,"30.09021047044861,74.590448153448"
6290,6290_18,4,0.583993246,0.184601785,"30.09805359442457,74.58226713790961"
6290,6290_39,4,0.588525663,0.18318011,"30.088711115469724,74.58657905127339"
14041,14041_32,4,0.36069516,0.213709458,"29.945803183417553,76.31430756616868"
14041,14041_4,4,0.367561349,0.209717282,"29.939950104419534,76.31565631014665"
14041,14041_36,4,0.368974928,0.208913835,"29.94582739350351,76.31222932395185"
14041,14041_17,4,0.402896092,0.191324684,"29.948226118261868,76.32603981172497"
14041,14041_49,4,0.437145663,0.176334741,"29.94256505746679,76.31975777736824"
9002,9002_35,7,0.650867516,0.214055713,"30.14907790256256,76.96819253253108"
9002,9002_16,7,0.686385824,0.202979003,"30.156983077062808,76.97106714144026"
9002,9002_15,7,0.701642758,0.198565308,"30.147640598107962,76.96316196694"
9002,9002_6,7,0.70863643,0.196605628,"30.157575716280977,76.97578619776695"
9002,9002_17,7,0.741885539,0.187794347,"30.152671163699033,76.95741274912163"
20870,20870_19,7,0.386408093,0.260887787,"29.606871337792896,76.93792990765164"
20870,20870_7,7,0.517201461,0.194912737,"29.597152991999522,76.93441587784818"
20870,20870_43,7,0.518645419,0.194370081,"29.60574594206071,76.93799915918767"
20870,20870_20,7,0.557459802,0.180836631,"29.605620677686588,76.9402650821318"
20870,20870_8,7,0.596529399,0.168992764,"29.605417492613423,76.93944644343924"
15767,15767_21,4,0.329891803,0.22354015,"30.877196223638887,74.52169266364447"
15767,15767_20,4,0.36375509,0.202729983,"30.876353956585714,74.52549361195327"
15767,15767_40,4,0.380538551,0.193788679,"30.874675190615612,74.52002471995597"
15767,15767_23,4,0.386906524,0.190599172,"30.877072608813016,74.52585293806692"
15767,15767_33,4,0.389475429,0.189342016,"30.87599463047207,74.52764956863516"
6279,6279_4,7,0.574621428,0.239197622,"30.106661295432453,76.91499316826392"
6279,6279_11,7,0.682148943,0.201492769,"30.103802812242932,76.92471407277968"
6279,6279_0,7,0.727048251,0.18904946,"30.11422326953872,76.9218394638705"
6279,6279_24,7,0.730816261,0.188074741,"30.09913157276551,76.92112081164319"
6279,6279_27,7,0.754440658,0.182185408,"30.102365507788342,76.9239954205524"
22322,22322_29,7,0.564888417,0.205208843,"29.606809726635593,76.9152481038291"
22322,22322_4,7,0.578060241,0.200532904,"29.614815178700567,76.93523402627885"
22322,22322_13,7,0.582244587,0.199091758,"29.60473660252044,76.92756797764513"
22322,22322_33,7,0.583961664,0.19850635,"29.60110557924965,76.92148013775684"
22322,22322_2,7,0.589443779,0.196660144,"29.606773084141327,76.9406919269678"
20253,20253_11,7,0.575862175,0.229007457,"29.618337983354387,76.95237867559196"
20253,20253_43,7,0.636224111,0.207280312,"29.616915928250155,76.96100601025812"
20253,20253_34,7,0.682289637,0.193285556,"29.60932914528293,76.95312571009639"
20253,20253_42,7,0.708056245,0.186251774,"29.617993906591096,76.95741274912164"
20253,20253_10,7,0.716040738,0.184174901,"29.61647044126549,76.94967772811307"
5214,5214_38,7,0.386906577,0.222831086,"29.376886084333417,76.31170372289651"
5214,5214_33,7,0.433239516,0.199000344,"29.37940136712895,76.31960889739676"
5214,5214_9,7,0.440648166,0.195654536,"29.38155732381084,76.31853091905583"
5214,5214_1,7,0.450640133,0.191316321,"29.376167432106122,76.31278170123747"
5214,5214_30,7,0.450919684,0.191197713,"29.376167432106122,76.31350035346478"
5215,5215_13,7,0.405080455,0.212945702,"29.401679586175113,76.29948663503251"
5215,5215_26,7,0.422021574,0.204397469,"29.394133737788508,76.3077511356464"
5215,5215_12,7,0.434482459,0.198535383,"29.393774411674862,76.29553404778238"
5215,5215_11,7,0.447585844,0.192723123,"29.396289694470397,76.30092393948709"
5215,5215_47,7,0.450683896,0.191398323,"29.397008346697696,76.2940967433278"
6734,6734_45,7,0.585468017,0.208058339,"30.1513822819587,76.99159554439375"
6734,6734_15,7,0.585478237,0.208054707,"30.150155880903498,76.99729794773654"
6734,6734_25,7,0.612036645,0.199026487,"30.149796554789855,76.98256557707698"
6734,6734_12,7,0.632422634,0.192610917,"30.147999924221615,76.9872368165544"
6734,6734_21,7,0.633611385,0.192249549,"30.15482712038092,76.99657929550924"
25316,25316_24,4,0.340118495,0.228507714,"29.913719298123244,76.67785703270364"
25316,25316_19,4,0.389881033,0.19934209,"29.906173449736638,76.67318579322622"
25316,25316_29,4,0.393421997,0.197547927,"29.91551592869148,76.67749770659"
25316,25316_10,4,0.405523742,0.19165265,"29.909766710873114,76.6850435549766"
25316,25316_38,4,0.424814767,0.182949619,"29.907970080304874,76.6692332059761"
15766,15766_40,4,0.249180452,0.238351982,"30.861262259812513,74.52693091640786"
15766,15766_37,4,0.273822236,0.216902234,"30.879228565494902,74.52944619920339"
15766,15766_48,4,0.288748687,0.205689783,"30.879228565494902,74.5287275469761"
15766,15766_11,4,0.332451661,0.178650498,"30.861262259812513,74.52585293806692"
15766,15766_22,4,0.370265692,0.160405503,"30.878509913267603,74.52764956863516"
15148,15148_33,7,0.499134693,0.213709729,"30.180339274449913,77.02029481901"
15148,15148_18,7,0.519080496,0.205497877,"30.17602736108614,77.0149049273053"
15148,15148_6,7,0.540555515,0.197333922,"30.178183317768035,77.01921684066907"
15148,15148_49,7,0.555951336,0.191869204,"30.180698600563566,77.01526425341892"
15148,15148_39,7,0.556763651,0.191589268,"30.172793426063315,77.02676268905566"
23607,23607_42,7,0.527655451,0.225526583,"29.61574410256883,76.9234641012706"
23607,23607_19,7,0.593713244,0.200434018,"29.61488157803906,76.93719648385272"
23607,23607_29,7,0.616267068,0.193098637,"29.615837949909206,76.9390871173256"
23607,23607_3,7,0.621333298,0.191524149,"29.610720125415522,76.92105290002765"
23607,23607_41,7,0.628246538,0.189416613,"29.615693604867595,76.9297759742692"
22257,22257_22,7,0.516397224,0.219187948,"29.60398018815883,76.9466329657122"
22257,22257_30,7,0.569016532,0.198918734,"29.601872689837005,76.93723200496888"
22257,22257_11,7,0.575144615,0.196799283,"29.58924781749927,76.9405244217802"
22257,22257_38,7,0.586607975,0.192953476,"29.594997035317633,76.93729048675736"
22257,22257_47,7,0.589089826,0.192140558,"29.60757344929531,76.94411768291667"
25500,25500_6,7,0.407364891,0.220048082,"29.663268996910716,75.40871719929959"
25500,25500_0,7,0.446124749,0.200930038,"29.663268996910716,75.41195113432241"
25500,25500_10,7,0.450348397,0.199045591,"29.663268996910716,75.39650011143554"
25500,25500_35,7,0.463786024,0.193278491,"29.662191018569775,75.40332730759488"
25500,25500_32,7,0.480133478,0.186697798,"29.662191018569775,75.4022493292539"
21799,21799_40,4,0.315133348,0.2421728,"29.605417492613423,76.7622986694109"
